,(,),*,+,",",-,;,<,=,[,],ID,EOF,if,int,NUM,==,return,else,void,while,{,},$,declaration,params,compound_stmt,declaration_list,expression_stmt,fun_declaration,statement,selection_stmt,iteration_stmt,var,simple_expression,local_declarations,term,addop,relop,program,additive_expression,return_stmt,statement_list,type_specifier,factor,var_declaration,param,expression,param_list,call,args,arg_list
70,r31,,,,,,r31,,,,,r31,,r31,,r31,,r31,r31,,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,s35,,,,,,,,,,,s50,,,,s52,,,,,,,,,,,,,,,,,,42,43,,44,,,,45,,,,47,,,85,,49,,
73,,r47,r47,r47,r47,r47,r47,r47,,,r47,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,r33,,,r33,,r33,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,r48,r48,r48,r48,r48,r48,r48,,,r48,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,r45,r45,r45,r45,r45,r45,r45,,,r45,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,r41,s59,r41,r41,r41,r41,r41,,,r41,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,r37,,s60,r37,s61,r37,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,
79,,r55,,,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,r52,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,s89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,r32,,,,,,r32,,,,,r32,,r32,,r32,,r32,r32,,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,r51,r51,r51,r51,r51,r51,r51,,,r51,,,,,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,s35,,,,,,,,,,,s50,,,,s52,,,,,,,,,,,,,,,,,,42,43,,44,,,,45,,,,47,,,91,,49,,
88,,r36,r36,r36,r36,r36,r36,r36,r36,,r36,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,s35,,,,,,s36,,,,,s50,,s51,,s52,,s53,,,s54,s26,,,,,37,,38,,92,40,41,42,43,,44,,,,45,46,,,47,,,48,,49,,
90,s35,,,,,,s36,,,,,s50,,s51,,s52,,s53,,,s54,s26,,,,,37,,38,,93,40,41,42,43,,44,,,,45,46,,,47,,,48,,49,,
91,,r54,,,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,s94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,r30,,,,,,r30,,,,,r30,,r30,,r30,,r30,r30,,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,s35,,,,,,s36,,,,,s50,,s51,,s52,,s53,,,s54,s26,,,,,37,,38,,95,40,41,42,43,,44,,,,45,46,,,47,,,48,,49,,
95,r29,,,,,,r29,,,,,r29,,r29,,r29,,r29,r29,,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
